frame,track_id,class_id,x1,y1,x2,y2,cx,cy
0,1,0,315.7887,464.48868,319.98395,477.35248,317.88632,477.35248
0,2,0,251.34119,474.02933,256.09674,486.17667,253.71896,486.17667
0,3,2,199.52188,425.91412,204.30241,443.81238,201.91214,443.81238
0,4,2,183.57745,442.22604,189.12794,460.1173,186.35269,460.1173
0,5,2,262.0396,454.14725,266.83865,472.13092,264.43915,472.13092
0,6,2,233.70605,440.9564,239.30058,460.0926,236.50333,460.0926
1,1,0,316.28177,463.85965,320.47974,477.36902,318.38074,477.36902
1,2,0,251.95529,474.215,256.47467,485.61884,254.21498,485.61884
1,3,2,199.85709,424.60645,205.10101,443.71054,202.47905,443.71054
1,4,2,183.23666,442.20035,189.19064,460.0185,186.21365,460.0185
1,6,2,233.73622,441.19943,239.57416,460.2508,236.65518,460.2508
1,5,2,262.43265,456.04047,267.0893,471.97845,264.761,471.97845
2,1,0,316.28128,463.85995,320.48032,477.36932,318.3808,477.36932
2,2,0,251.95448,474.21475,256.47525,485.61942,254.21487,485.61942
2,3,2,199.85703,424.60626,205.10127,443.71103,202.47916,443.71103
2,4,2,183.23758,442.20065,189.19087,460.02026,186.21423,460.02026
2,6,2,233.73618,441.19882,239.57452,460.25092,236.65535,460.25092
2,5,2,262.43176,456.03632,267.09,471.97852,264.76086,471.97852
3,1,0,316.2494,463.61035,320.48886,477.16632,318.36914,477.16632
3,2,0,252.08296,474.61688,256.865,485.86185,254.47397,485.86185
3,3,2,200.13162,425.05957,205.46465,444.1684,202.79813,444.1684
3,4,2,182.69186,442.23233,188.9906,459.7293,185.84123,459.7293
3,5,2,262.68933,457.82764,267.77597,471.70114,265.23267,471.70114
3,6,2,233.7384,441.17053,239.75429,460.11172,236.74634,460.11172
4,1,0,316.58606,463.5894,320.54892,477.12637,318.5675,477.12637
4,2,0,252.24866,474.51,257.10538,485.17862,254.67702,485.17862
4,3,2,201.53932,425.38687,206.51509,444.14072,204.0272,444.14072
4,5,2,263.50082,457.41293,268.98633,471.63126,266.2436,471.63126
5,1,0,316.9406,462.74966,320.92044,477.3673,318.93054,477.3673
5,2,0,253.04546,473.2045,257.60312,484.93033,255.32428,484.93033
5,7,0,338.40607,434.72406,342.31213,445.60312,340.3591,445.60312
5,8,0,345.1692,483.2897,350.84402,495.85452,348.0066,495.85452
5,5,2,264.4544,456.63376,269.28766,471.63968,266.87103,471.63968
5,3,2,202.52747,425.00055,207.49797,443.47375,205.01273,443.47375
6,1,0,317.39426,462.66272,322.02005,476.88138,319.70715,476.88138
6,2,0,253.28067,472.80682,258.6101,484.95984,255.94539,484.95984
6,3,2,203.53758,426.3685,208.62141,444.17325,206.0795,444.17325
6,8,0,345.44034,482.78818,351.13965,495.88477,348.28998,495.88477
6,6,2,233.6601,440.93777,239.57773,460.26675,236.61891,460.26675
6,5,2,265.24353,454.72336,269.99173,471.09534,267.6176,471.09534
7,1,0,317.39944,462.5355,322.00378,476.83252,319.7016,476.83252
7,3,2,203.58253,426.49283,208.69173,444.17065,206.13713,444.17065
7,2,0,253.2895,472.75397,258.6179,484.9463,255.9537,484.9463
7,9,2,217.28912,466.22684,224.50829,487.45187,220.89871,487.45187
7,8,0,345.24115,482.5731,351.2414,496.09558,348.24127,496.09558
7,10,0,294.29752,444.93268,298.8044,459.73376,296.55096,459.73376
7,6,2,233.66078,440.99966,239.5815,460.32037,236.62114,460.32037
7,5,2,265.28683,455.31506,270.08163,471.17847,267.68423,471.17847
8,1,0,317.393,462.65985,321.9867,477.0009,319.68985,477.0009
8,3,2,203.56506,426.8293,208.73878,444.3806,206.15192,444.3806
8,8,0,345.43753,482.8676,351.34827,496.27225,348.39288,496.27225
8,9,2,217.227,466.22253,224.79437,487.46832,221.01068,487.46832
8,2,0,253.38588,472.5671,258.66742,485.0543,256.02664,485.0543
8,6,2,233.66223,440.91464,239.66249,460.56366,236.66235,460.56366
8,5,2,265.35867,455.4743,270.15155,471.21207,267.75513,471.21207
8,10,0,294.28275,444.4436,298.77124,459.78967,296.52698,459.78967
9,1,0,317.62604,462.7266,322.0874,477.01447,319.85672,477.01447
9,3,2,203.57787,428.27313,209.00467,445.1339,206.29126,445.1339
9,8,0,345.693,482.74304,351.8176,496.47385,348.7553,496.47385
9,2,0,254.86761,472.28012,259.04092,485.48032,256.95428,485.48032
9,9,2,218.34383,466.15884,224.87776,488.0447,221.6108,488.0447
9,5,2,265.5061,455.11652,270.24838,471.1336,267.87726,471.1336
9,6,2,233.65324,440.6913,239.74103,460.59973,236.69714,460.59973
9,10,0,294.27893,443.82574,299.13376,459.74127,296.70636,459.74127
10,1,0,317.6607,462.74423,322.1907,477.11786,319.92572,477.11786
10,3,2,203.58821,428.1685,209.00763,444.98663,206.29791,444.98663
10,8,0,345.68176,482.6366,351.82404,496.53992,348.7529,496.53992
10,2,0,254.8555,472.2838,258.9057,485.58563,256.8806,485.58563
10,9,2,218.47816,466.1456,224.86964,488.1339,221.6739,488.1339
10,5,2,265.51065,454.61594,270.2189,471.1661,267.86478,471.1661
10,6,2,233.66751,441.1339,239.53934,460.757,236.60342,460.757
11,1,0,317.75095,463.079,322.34457,476.32928,320.04776,476.32928
11,3,2,203.78282,428.26917,209.10184,444.8524,206.44232,444.8524
11,8,0,345.9117,483.00714,352.0444,496.2028,348.97806,496.2028
11,2,0,254.95709,472.1643,259.30923,485.57217,257.13318,485.57217
11,9,2,219.85904,466.16284,226.04117,487.80145,222.9501,487.80145
11,6,2,233.69614,440.92557,239.67471,460.816,236.68542,460.816
11,10,0,294.5032,443.86975,299.38397,459.61984,296.9436,459.61984
11,5,2,265.54074,452.85336,270.29764,470.51935,267.9192,470.51935
12,1,0,317.8245,462.66898,322.37302,476.42963,320.09875,476.42963
12,8,0,345.9379,483.0945,351.98108,496.18106,348.95947,496.18106
12,3,2,203.82991,427.9895,209.12244,444.67706,206.47617,444.67706
12,6,2,233.69484,440.95776,239.65437,460.83682,236.6746,460.83682
12,9,2,219.83817,466.18442,225.96619,487.86453,222.90218,487.86453
12,2,0,254.95708,472.15567,259.32288,485.4354,257.13998,485.4354
12,5,2,265.534,452.99136,270.25385,470.50732,267.89392,470.50732
12,10,0,294.50797,443.81274,299.4957,459.6464,297.00183,459.6464
13,8,0,346.32657,483.0466,352.3015,496.26318,349.31403,496.26318
13,1,0,318.2849,462.10886,322.60812,476.60733,320.44653,476.60733
13,3,2,204.0298,427.6626,209.29901,444.74982,206.6644,444.74982
13,10,0,295.12927,443.97006,300.03647,459.4216,297.5829,459.4216
13,2,0,254.97307,472.17258,259.60776,485.39774,257.2904,485.39774
13,9,2,220.48074,466.14365,226.89009,487.3981,223.68542,487.3981
13,6,2,233.70534,441.28305,239.61064,460.80872,236.65799,460.80872
13,5,2,265.56195,452.83282,270.52747,470.6889,268.0447,470.6889
14,1,0,318.35144,462.23346,322.59564,476.70227,320.47354,476.70227
14,8,0,346.33188,482.9846,352.33804,496.39456,349.33496,496.39456
14,3,2,204.05824,427.57996,209.34789,444.63077,206.70306,444.63077
14,10,0,295.11154,443.86084,300.07138,459.40875,297.59146,459.40875
14,2,0,254.97437,472.194,259.6317,485.37845,257.30304,485.37845
14,6,2,233.7095,441.23987,239.64148,460.8378,236.67549,460.8378
14,5,2,265.57132,453.10568,270.52844,470.6239,268.04987,470.6239
14,9,2,220.48138,466.08084,226.91393,487.38855,223.69766,487.38855
15,1,0,318.39572,462.38544,322.66537,476.53156,320.53055,476.53156
15,8,0,346.44965,483.24863,352.383,496.23892,349.41632,496.23892
15,3,2,204.08664,427.56967,209.30191,444.5001,206.69427,444.5001
15,10,0,295.06207,443.91968,300.05014,459.35608,297.5561,459.35608
15,2,0,254.9776,472.11908,259.67535,485.40826,257.32648,485.40826
15,6,2,233.71297,441.3632,239.6178,460.81686,236.66537,460.81686
15,5,2,265.568,452.9875,270.6019,470.4475,268.08496,470.4475
15,9,2,220.56808,465.8887,226.86736,487.49863,223.71771,487.49863
16,8,0,347.05054,483.14267,352.83255,495.80338,349.94153,495.80338
16,3,2,204.20926,427.85086,209.46762,444.7792,206.83844,444.7792
16,1,0,318.5877,462.04782,322.8948,476.27896,320.74127,476.27896
16,10,0,295.30698,444.12213,300.22275,459.45297,297.76486,459.45297
16,5,2,265.5805,452.15775,270.84955,470.21436,268.21503,470.21436
16,2,0,254.98456,472.05673,259.9505,485.74023,257.46753,485.74023
